_id,source,category,collected_at,data.country,data.year,data.value,data.indicator
698a12db417c1568de185997,who,health,2026-02-09 17:01:15.886,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a12db417c1568de185998,who,health,2026-02-09 17:01:15.886,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a1826965a6a7ada10265d,who,health,2026-02-09 17:23:50.469,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a1826965a6a7ada10265e,who,health,2026-02-09 17:23:50.470,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a1826965a6a7ada10265f,who,health,2026-02-09 17:23:50.471,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a1826965a6a7ada102660,who,health,2026-02-09 17:23:50.471,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a1826965a6a7ada102661,who,health,2026-02-09 17:23:50.471,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a2722965a6a7ada1027f6,who,health,2026-02-09 18:27:46.101,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a2722965a6a7ada1027f7,who,health,2026-02-09 18:27:46.102,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a2722965a6a7ada1027f8,who,health,2026-02-09 18:27:46.102,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a2722965a6a7ada1027f9,who,health,2026-02-09 18:27:46.104,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a2722965a6a7ada1027fa,who,health,2026-02-09 18:27:46.104,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a286b8ed7da4dc73f3de4,who,health,2026-02-09 18:33:15.762,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a286b8ed7da4dc73f3de5,who,health,2026-02-09 18:33:15.763,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a286b8ed7da4dc73f3de6,who,health,2026-02-09 18:33:15.764,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a286b8ed7da4dc73f3de7,who,health,2026-02-09 18:33:15.764,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a286b8ed7da4dc73f3de8,who,health,2026-02-09 18:33:15.765,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a286ec460a8f52919f96c,who,health,2026-02-09 18:33:18.186,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
